conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,And if I recall um methane was was quite a bit higher than his model predicted that methane was quite a bit higher than it is even now like post industrial.,,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,1159.0,1172.248407643312,,,SLU,1165.624203821656,"[{'provide supporting evidence': ""Chris is providing evidence from a model to support the discussion about methane concentrations, referencing a specific model's prediction about methane levels being higher than current levels.""}, {'offer constructive criticism': ""Chris offers constructive criticism by acknowledging the paper's value but also pointing out that the model is a first-order approach and could be further refined, aiming to improve the understanding of methane levels.""}]",1159.0,0,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,I should take I should take the paper out.,,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,1172.2484076433118,1175.8152866242037,,,SLU,1174.0318471337578,"[{'provide supporting evidence': ""Chris is providing evidence from a model to support the discussion about methane concentrations, referencing a specific model's prediction about methane levels being higher than current levels.""}, {'offer constructive criticism': ""Chris offers constructive criticism by acknowledging the paper's value but also pointing out that the model is a first-order approach and could be further refined, aiming to improve the understanding of methane levels.""}]",1159.0,1,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,"Um I would say like, you know, broadly it it's it's it's an amazing paper.",,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,1175.815286624204,1182.099787685775,,,SLU,1178.9575371549895,"[{'provide supporting evidence': ""Chris is providing evidence from a model to support the discussion about methane concentrations, referencing a specific model's prediction about methane levels being higher than current levels.""}, {'offer constructive criticism': ""Chris offers constructive criticism by acknowledging the paper's value but also pointing out that the model is a first-order approach and could be further refined, aiming to improve the understanding of methane levels.""}]",1159.0,2,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,Um but uh there's there's a lot to do there.,,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,1182.0997876857753,1185.8365180467092,,,SLU,1183.9681528662422,"[{'provide supporting evidence': ""Chris is providing evidence from a model to support the discussion about methane concentrations, referencing a specific model's prediction about methane levels being higher than current levels.""}, {'offer constructive criticism': ""Chris offers constructive criticism by acknowledging the paper's value but also pointing out that the model is a first-order approach and could be further refined, aiming to improve the understanding of methane levels.""}]",1159.0,3,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,"The there's only, you know, that model is a relatively first order, you know, approach and you know, one could imagine really uh really pulling that apart.",,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,1185.836518046709,1199.0,,,SLU,1192.4182590233545,"[{'provide supporting evidence': ""Chris is providing evidence from a model to support the discussion about methane concentrations, referencing a specific model's prediction about methane levels being higher than current levels.""}, {'offer constructive criticism': ""Chris offers constructive criticism by acknowledging the paper's value but also pointing out that the model is a first-order approach and could be further refined, aiming to improve the understanding of methane levels.""}]",1159.0,4,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,Can I ask maybe kind of a silly question?,,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,786.0,787.1310344827587,,,SLU,786.5655172413793,"[{'ask clarifying question': 'Chris asks a question about the distinction between habitability and detectability, which is a request for clarification on a concept related to the discussion.'}]",1945.0,5,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,"Um, please do.",,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,787.1310344827585,787.5172413793103,,,SLU,787.3241379310344,"[{'ask clarifying question': 'Chris asks a question about the distinction between habitability and detectability, which is a request for clarification on a concept related to the discussion.'}]",1945.0,6,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,Potentially silly.,,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,787.5172413793102,788.0137931034483,,,SLU,787.7655172413793,"[{'ask clarifying question': 'Chris asks a question about the distinction between habitability and detectability, which is a request for clarification on a concept related to the discussion.'}]",1945.0,7,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,Silly or not.,,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,788.0137931034482,788.3724137931034,,,SLU,788.1931034482758,"[{'ask clarifying question': 'Chris asks a question about the distinction between habitability and detectability, which is a request for clarification on a concept related to the discussion.'}]",1945.0,8,0
2021_06_11_SLU_S8,2021_06_11_SLU_S8,,,"So one of the one of the distinctions um that I think that that the prompt um makes really well and that I think is seems to have come up in you know a few of the different breakouts is um sort of distinguishing between uh habitability uh in the sense of, you know, being um good conditions for life to emerge and um detectability in the sense of, you know, conditions being favorable for the um the you know exerting sort of, you know, energetic leverage on the chemistry of an atmosphere say.",,2021_06_11_SLU_S8_SLU,Christopher Reinhard,,,,,788.3724137931035,802.0,,,SLU,795.1862068965518,"[{'ask clarifying question': 'Chris asks a question about the distinction between habitability and detectability, which is a request for clarification on a concept related to the discussion.'}]",1945.0,9,0
