conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_04_23_MND_S5,2021_04_23_MND_S5,,,Hi.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,447.99999999999994,448.1990171990172,,,MND,448.09950859950857,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,0,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,Um I am an assistant professor at the Scripps Institution of Oceanography.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,448.19901719901725,453.1081081081081,,,MND,450.6535626535627,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,1,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,I am a chemical oceanographer by training.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,453.1081081081081,455.8943488943489,,,MND,454.5012285012285,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,2,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,"Um most of my work is focused on organometallic compounds, trace metals.",,2021_04_23_MND_S5_MND,Amina Schartup,,,,,455.89434889434887,460.6707616707617,,,MND,458.2825552825553,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,3,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,So I study how they cycle um in the environment from emissions uh through mostly um anthropogenic activity to um how they transform in the oceans and then uh biomagnify and bioaccumulate in food webs.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,460.6707616707617,473.93857493857496,,,MND,467.3046683046683,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,4,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,"And a component of my work is looking at the human health impacts of uh mercury in particular, how people ingest them through fish consumption and what this means for exposure and health.",,2021_04_23_MND_S5_MND,Amina Schartup,,,,,473.9385749385749,486.3439803439803,,,MND,480.1412776412776,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,5,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,Um the reason I guess the connection here is that the mercury um is uh is a neurotoxicant and it's been linked to uh all kinds of neurodegenerative uh diseases including Alzheimer's.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,486.3439803439803,498.41769041769044,,,MND,492.3808353808354,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,6,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,Um and uh cardiovascular health is even a suppressant.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,498.41769041769044,502.0,,,MND,500.2088452088452,"[{'explain or define term or concept': 'Amina explains her background as a chemical oceanographer and the focus of her work on organometallic compounds and trace metals, providing context for her expertise.'}, {'provide supporting evidence': ""Amina provides supporting evidence by stating that mercury is a neurotoxicant and has been linked to neurodegenerative diseases like Alzheimer's, connecting her work to the meeting's focus.""}]",448.0,7,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,I don't know.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,350.0,350.8217446270544,,,MND,350.4108723135272,"[{'explain or define term or concept': ""Amina explains her perspective by introducing the concepts of 'inputs versus outputs' and 'gross rates' within a system, clarifying how she views the interaction between the microbiome, environmental factors, and human health, which is relevant to the discussion on biomarkers."", 'present new idea': ""Amina introduces a new perspective by focusing on the impact of environmental contaminants on the microbiome and its subsequent effect on human health, which hasn't been explicitly discussed in the same way before.""}]",798.0,8,0
2021_04_23_MND_S5,2021_04_23_MND_S5,,,I I don't know.,,2021_04_23_MND_S5_MND,Amina Schartup,,,,,350.82174462705433,351.7699115044248,,,MND,351.29582806573956,"[{'explain or define term or concept': ""Amina explains her perspective by introducing the concepts of 'inputs versus outputs' and 'gross rates' within a system, clarifying how she views the interaction between the microbiome, environmental factors, and human health, which is relevant to the discussion on biomarkers."", 'present new idea': ""Amina introduces a new perspective by focusing on the impact of environmental contaminants on the microbiome and its subsequent effect on human health, which hasn't been explicitly discussed in the same way before.""}]",798.0,9,0
